Invoice_Line_Id,Invoice_Id,Contract__Description,Project_Id,Name,Invoice_Line_Number__c,sitetracker__Quantity__c,sitetracker__Unit_Price__c,Invoice_Amount__c,Total_Invoice_Amount__c,Invoice_Date__c,Invoice_Due_Date__c,Invoice_Status__c,Infinium_Project_Number__c,Budgeted_Quantity__c,Budget_Vendor_Pricing_Line__r.Name,Company_Code__c,Operating_Area__c,Account_Code_Lookup__r.Name,Cost_Center__c,Type__c,GL_Code__c,Cost_Category_Name__c,Cost_Code_Check__c,Invoice_Line_Amount_Check__c,No_Matching_Budget_Line__c,Pending_Invoices_Check__c,Quantity_Exceeds_Budget__c,LastModifiedDate,Unit_of_Measure__c
INVLN000015,INV000157,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000007,INVL-0501681,16,4.5,45,202.5,2685,2025-10-28 00:00:00,2025-12-27 00:00:00,Hold,4170977,-41,,161,,2441.001,,Engineering,161.000.2441.001.000.344,L42A,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 07:51:26,Each
INVLN000016,INV000010,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000009,INVL-0475742,,12.6,1,12.6,2820,2025-10-16 00:00:00,2025-12-15 00:00:00,Hold,4188575,-349,BVPL-262294,,,2441.001,,Engineering,164.000.2441.001.000.344,Mileage,1,TRUE,FALSE,TRUE,TRUE,2025-10-16 16:57:31,Each
INVLN000017,INV000010,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000009,INVL-0475542,,4,45,180,2820,2025-10-16 00:00:00,2025-12-15 00:00:00,Hold,4188575,-114,BVPL-241221,,,2441.001,,Engineering,164.000.2441.001.000.344,L42A,1,TRUE,FALSE,TRUE,TRUE,2025-10-16 16:49:06,Each
INVLN000018,INV000010,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000009,INVL-0475550,,5,45,225,2820,2025-10-16 00:00:00,2025-12-15 00:00:00,Hold,4188575,-109,BVPL-241221,,,2441.001,,Engineering,164.000.2441.001.000.344,L42A,1,TRUE,FALSE,TRUE,TRUE,2025-10-16 16:48:18,Each
INVLN000019,INV000010,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000009,INVL-0475749,,9.1,1,9.1,2820,2025-10-16 00:00:00,2025-12-15 00:00:00,Hold,4188575,-362,BVPL-262294,,,2441.001,,Engineering,164.000.2441.001.000.344,Mileage,1,TRUE,FALSE,TRUE,TRUE,2025-10-16 17:01:09,Each
INVLN000020,INV000078,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000009,INVL-0479594,18,4.5,45,202.5,2482.5,2025-10-17 00:00:00,2025-12-16 00:00:00,Hold,4188575,-150,BVPL-241221,,,2441.001,,Engineering,164.000.2441.001.000.344,L42A,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 06:12:56,Each
INVLN000021,INV000078,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000009,INVL-0479614,19,14,1,14,2482.5,2025-10-17 00:00:00,2025-12-16 00:00:00,Hold,4188575,-492,BVPL-262294,,,2441.001,,Engineering,164.000.2441.001.000.344,Mileage,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 06:12:56,Each
INVLN000022,INV000174,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000010,INVL-0445181,10,10,45,450,2685,2025-10-07 00:00:00,2025-12-06 00:00:00,Hold,4208856,-73,BVPL-241221,,,2441.001,,Engineering,161.000.2441.001.000.344,L42A,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 05:26:57,Each
INVLN000023,INV000174,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000010,INVL-0445182,11,61.6,1,61.6,2685,2025-10-07 00:00:00,2025-12-06 00:00:00,Hold,4208856,-522,BVPL-262294,,,2441.001,,Engineering,161.000.2441.001.000.344,Mileage,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 05:26:57,Each
INVLN000024,INV000112,Synthetic Contract 4 - Professional Services Contract,PRJ000011,INVL-0407709,1,7.33,91,667.03,2255.55,2025-09-25 00:00:00,2025-11-09 00:00:00,Hold,5390917,0,BVPL-267895,152,338,2441.001,0,Field Work,152.000.2441.001.000.345,L10A,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 04:22:00,Hours
INVLN000025,INV000112,Synthetic Contract 4 - Professional Services Contract,PRJ000011,INVL-0407710,2,16.33,54.5,889.99,2255.55,2025-09-25 00:00:00,2025-11-09 00:00:00,Hold,5390917,0,BVPL-267913,152,338,2441.001,0,Field Work,152.000.2441.001.000.345,L50A,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 04:22:00,Hours
INVLN000026,INV000112,Synthetic Contract 4 - Professional Services Contract,PRJ000011,INVL-0407711,3,23.66,29,686.14,2255.55,2025-09-25 00:00:00,2025-11-09 00:00:00,Hold,5390917,0,BVPL-267885,152,338,2441.001,0,Field Work,152.000.2441.001.000.345,E30A,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 04:22:00,Hours
INVLN000027,INV000112,Synthetic Contract 4 - Professional Services Contract,PRJ000011,INVL-0407729,4,10.44,1,10.44,2255.55,2025-09-25 00:00:00,2025-11-09 00:00:00,Hold,5390917,-685,BVPL-267994,152,338,2441.001,0,Contractor Provided Material,152.000.2441.001.000.505,P71G,,FALSE,FALSE,TRUE,TRUE,2025-11-13 04:22:00,Each
INVLN000028,INV000112,Synthetic Contract 4 - Professional Services Contract,PRJ000011,INVL-0407730,5,1.04,1,1.04,2255.55,2025-09-25 00:00:00,2025-11-09 00:00:00,Hold,5390917,-69,BVPL-268069,152,338,2441.001,0,Contractor Provided Material,152.000.2441.001.000.505,HNDL,,FALSE,FALSE,TRUE,TRUE,2025-11-13 04:22:00,Each
INVLN000029,INV000112,Synthetic Contract 4 - Professional Services Contract,PRJ000011,INVL-0407731,6,0.91,1,0.91,2255.55,2025-09-25 00:00:00,2025-11-09 00:00:00,Hold,5390917,-50,BVPL-268071,152,338,2441.001,0,Contractor Provided Material,152.000.2441.001.000.505,TAX,,FALSE,FALSE,TRUE,TRUE,2025-11-13 04:22:00,Each
INVLN000030,INV000055,Synthetic Contract 1 - Construction Services Agreement,PRJ000012,INVL-0535711,1,1600,1,1600,1600,2025-11-06 00:00:00,2026-01-05 00:00:00,Hold,5390645,0,BVPL-260515,,,3232.404,,Field Work,171.000.3232.404.000.345,BID,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 09:00:36,Each
INVLN000031,INV000082,Synthetic Contract 1 - Construction Services Agreement,PRJ000013,INVL-0427453,1,1600,1,1600,1600,2025-10-01 00:00:00,2025-11-30 00:00:00,Hold,5387099,0,BVPL-260515,,,3362.004,,Field Work,171.000.3362.004.000.345,BID,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 04:53:33,Each
INVLN000032,INV000051,Synthetic Contract 5 - Service Agreement for Network Operations,PRJ000014,INVL-0350089,1,7,165,1155,1305,2025-09-04 00:00:00,2025-10-19 00:00:00,Hold,5394252,0,BVPL-236115,151,338,3411.004,0,Field Work,152.000.3411.004.000.345,N2,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 02:53:39,Hours
INVLN000033,INV000051,Synthetic Contract 5 - Service Agreement for Network Operations,PRJ000014,INVL-0350093,2,2,75,150,1305,2025-09-04 00:00:00,2025-10-19 00:00:00,Hold,5394252,0,BVPL-236117,151,338,3411.004,0,Field Work,152.000.3411.004.000.345,N10,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 02:53:39,Hours
INVLN000034,INV000121,Synthetic Contract 6 - Construction Services Agreement,PRJ000015,INVL-0526731,1,0.75,720,540,540,2025-11-04 00:00:00,2025-12-04 00:00:00,Hold,3293720,0,BVPL-104115,,,3411.504,,Field Work,441.000.3411.504.000.345,2PFC,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 08:45:06,Each
INVLN000035,INV000075,Synthetic Contract 6 - Construction Services Agreement,PRJ000016,INVL-0478600,1,1,720,720,720,2025-10-17 00:00:00,2025-11-16 00:00:00,Hold,3294815,0,BVPL-104115,,,3411.504,,Field Work,441.000.3411.504.000.345,2PFC,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 06:09:02,Each
INVLN000036,INV000165,Synthetic Contract 7 - Vendor Services Contract,PRJ000017,INVL-0408848,3,2,70,140,1928.5,2025-09-25 00:00:00,2025-11-09 00:00:00,Hold,3226396,0,BVPL-277705,441,,3411.504,0,Field Work,441.000.3411.504.000.345,FE25A,1,TRUE,FALSE,TRUE,FALSE,2025-11-13 04:24:15,Hours
INVLN000037,INV000165,Synthetic Contract 7 - Vendor Services Contract,PRJ000017,INVL-0408851,6,6,53,318,1928.5,2025-09-25 00:00:00,2025-11-09 00:00:00,Hold,3226396,0,BVPL-277710,441,,3411.504,0,Field Work,441.000.3411.504.000.345,FL50A,1,TRUE,FALSE,TRUE,FALSE,2025-11-13 04:24:15,Hours
INVLN000038,INV000165,Synthetic Contract 7 - Vendor Services Contract,PRJ000018,INVL-0408852,7,1,270,270,1928.5,2025-09-25 00:00:00,2025-11-09 00:00:00,Hold,3226394,0,BVPL-277720,441,,3411.504,0,Field Work,441.000.3411.504.000.345,P01B,1,TRUE,FALSE,TRUE,FALSE,2025-11-13 04:24:15,Each
INVLN000039,INV000165,Synthetic Contract 7 - Vendor Services Contract,PRJ000019,INVL-0408853,8,1,42,42,1928.5,2025-09-25 00:00:00,2025-11-09 00:00:00,Hold,3226395,0,BVPL-231646,441,,3411.504,0,Field Work,441.000.3411.504.000.345,PL448B,1,TRUE,FALSE,TRUE,FALSE,2025-11-13 04:24:15,Each
INVLN000040,INV000165,Synthetic Contract 7 - Vendor Services Contract,PRJ000017,INVL-0408857,9,2,65,130,1928.5,2025-09-25 00:00:00,2025-11-09 00:00:00,Hold,3226396,0,,441,,3411.504,0,Field Work,441.000.3411.504.000.345,FE30A,1,TRUE,FALSE,TRUE,FALSE,2025-11-13 04:24:15,Hours
INVLN000041,INV000165,Synthetic Contract 7 - Vendor Services Contract,PRJ000017,INVL-0408858,10,2,80,160,1928.5,2025-09-25 00:00:00,2025-11-09 00:00:00,Hold,3226396,0,,441,,3411.504,0,Field Work,441.000.3411.504.000.345,FL40A,1,TRUE,FALSE,TRUE,FALSE,2025-11-13 04:24:15,Hours
INVLN000042,INV000165,Synthetic Contract 7 - Vendor Services Contract,PRJ000019,INVL-0408867,11,2,270,540,1928.5,2025-09-25 00:00:00,2025-11-09 00:00:00,Hold,3226395,0,,441,,3411.504,0,Field Work,441.000.3411.504.000.345,P01B,1,TRUE,FALSE,TRUE,FALSE,2025-11-13 04:24:15,Each
INVLN000043,INV000069,Synthetic Contract 7 - Vendor Services Contract,PRJ000020,INVL-0412700,1,1,270,270,19537.82,2025-09-26 00:00:00,2025-11-10 00:00:00,Hold,3247665,-5,BVPL-277720,441,,3411.504,0,Field Work,441.000.3411.504.000.345,P01B,1,TRUE,TRUE,TRUE,TRUE,2025-11-13 04:33:29,Each
INVLN000044,INV000069,Synthetic Contract 7 - Vendor Services Contract,PRJ000021,INVL-0412701,2,4,102,408,19537.82,2025-09-26 00:00:00,2025-11-10 00:00:00,Hold,3292946,-39,BVPL-231684,441,,3411.504,0,Field Work,441.000.3411.504.000.345,AN110,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 04:33:29,Each
INVLN000045,INV000069,Synthetic Contract 7 - Vendor Services Contract,PRJ000021,INVL-0412702,3,1,178.8,178.8,19537.82,2025-09-26 00:00:00,2025-11-10 00:00:00,Hold,3292946,-2,BVPL-231695,441,,3411.504,0,Field Work,441.000.3411.504.000.345,PLA12A,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 04:33:29,Each
INVLN000046,INV000069,Synthetic Contract 7 - Vendor Services Contract,PRJ000022,INVL-0412713,7,1,270,270,19537.82,2025-09-26 00:00:00,2025-11-10 00:00:00,Hold,3274391,0,,441,,3411.504,0,Field Work,441.000.3411.504.000.345,P01B,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 04:33:29,Each
INVLN000047,INV000069,Synthetic Contract 7 - Vendor Services Contract,PRJ000021,INVL-0412721,8,40,270,10800,19537.82,2025-09-26 00:00:00,2025-11-10 00:00:00,Hold,3292946,-374,,441,,3411.504,0,Field Work,441.000.3411.504.000.345,P01B,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 04:33:29,Each
INVLN000048,INV000069,Synthetic Contract 7 - Vendor Services Contract,PRJ000023,INVL-0412727,9,1,270,270,19537.82,2025-09-26 00:00:00,2025-11-10 00:00:00,Hold,3260101,-2,,441,,3411.504,0,Field Work,441.000.3411.504.000.345,P01B,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 04:33:29,Each
INVLN000049,INV000069,Synthetic Contract 7 - Vendor Services Contract,PRJ000024,INVL-0412731,10,5,270,1350,19537.82,2025-09-26 00:00:00,2025-11-10 00:00:00,Hold,3259524,-1,,441,,3411.504,0,Field Work,441.000.3411.504.000.345,P01B,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 04:33:29,Each
INVLN000050,INV000069,Synthetic Contract 7 - Vendor Services Contract,PRJ000025,INVL-0412733,11,10,270,2700,19537.82,2025-09-26 00:00:00,2025-11-10 00:00:00,Hold,3259525,0,,441,,3411.504,0,Field Work,441.000.3411.504.000.345,P01B,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 04:33:29,Each
INVLN000051,INV000069,Synthetic Contract 7 - Vendor Services Contract,PRJ000021,INVL-0412753,15,79,1,79,19537.82,2025-09-26 00:00:00,2025-11-10 00:00:00,Hold,3292946,-91073,BVPL-264499,441,,3411.504,0,Field Work,441.000.3411.504.000.345,0000,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 04:33:29,Each
INVLN000052,INV000069,Synthetic Contract 7 - Vendor Services Contract,PRJ000021,INVL-0412754,16,5.02,1,5.02,19537.82,2025-09-26 00:00:00,2025-11-10 00:00:00,Hold,3292946,-115,BVPL-267471,441,,3411.504,0,Field Work,441.000.3411.504.000.345,TAX,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 04:33:29,Each
INVLN000053,INV000069,Synthetic Contract 7 - Vendor Services Contract,PRJ000021,INVL-0412755,17,8.4,1,8.4,19537.82,2025-09-26 00:00:00,2025-11-10 00:00:00,Hold,3292946,-6663,BVPL-265997,441,,3411.504,0,Field Work,441.000.3411.504.000.345,HNDL,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 04:33:29,Each
INVLN000054,INV000174,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000026,INVL-0445176,16,10,45,450,2685,2025-10-07 00:00:00,2025-12-06 00:00:00,Hold,4200765,-91,BVPL-241221,,,3421.104,,Engineering,161.000.3421.104.000.344,L42A,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 05:26:57,Each
INVLN000055,INV000174,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000026,INVL-0445177,17,55.3,1,55.3,2685,2025-10-07 00:00:00,2025-12-06 00:00:00,Hold,4200765,-493,BVPL-262294,,,3421.104,,Engineering,161.000.3421.104.000.344,Mileage,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 05:26:57,Each
INVLN000056,INV000106,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000027,INVL-0430266,1,1.5,50,75,75,2025-10-02 00:00:00,2025-12-01 00:00:00,Hold,1326988,0,BVPL-241325,,,3421.104,,Engineering,005.000.3421.104.000.344,L01E,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 05:02:24,Each
INVLN000057,INV000017,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000028,INVL-0441025,1,3,45,135,2685,2025-10-13 00:00:00,2025-12-12 00:00:00,Hold,4165523,-30,BVPL-241221,,,3421.104,0,Engineering,161.000.3421.104.000.344,L42A,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 05:20:31,Hours
INVLN000058,INV000017,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000028,INVL-0441026,2,10.5,1,10.5,2685,2025-10-13 00:00:00,2025-12-12 00:00:00,Hold,4165523,-123,BVPL-262294,,,3421.104,0,Engineering,161.000.3421.104.000.344,Mileage,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 05:20:31,Each
INVLN000059,INV000017,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000029,INVL-0441033,7,3,45,135,2685,2025-10-13 00:00:00,2025-12-12 00:00:00,Hold,4184072,-103,BVPL-241221,,,3421.104,0,Engineering,161.000.3421.104.000.344,L42A,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 05:20:31,Hours
INVLN000060,INV000017,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000029,INVL-0441034,8,10.5,1,10.5,2685,2025-10-13 00:00:00,2025-12-12 00:00:00,Hold,4184072,-203,BVPL-262294,,,3421.104,0,Engineering,161.000.3421.104.000.344,Mileage,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 05:20:31,Each
INVLN000061,INV000123,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000030,INVL-0396639,5,6,35,210,1416.8,2025-09-29 00:00:00,2025-11-28 00:00:00,Hold,4210225,6,BVPL-241307,161,348,3421.104,0,Engineering,161.000.3421.104.000.344,L04A,1,TRUE,FALSE,TRUE,FALSE,2025-11-13 03:56:49,Hours
INVLN000062,INV000123,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000030,INVL-0396640,6,2.52,1,2.52,1416.8,2025-09-29 00:00:00,2025-11-28 00:00:00,Hold,4210225,-14,BVPL-267537,161,348,3421.104,0,Engineering,161.000.3421.104.000.344,TAX,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 03:56:49,Each
INVLN000063,INV000170,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000031,INVL-0238416,1,2,35,70,140,2025-08-07 00:00:00,2025-10-06 00:00:00,Hold,4209827,-1,BVPL-241307,161,348,3421.104,0,Engineering,161.000.3421.104.000.344,L04A,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 01:45:23,Hours
INVLN000064,INV000110,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000032,INVL-0290274,2,3,35,105,1277.5,2025-08-11 00:00:00,2025-10-10 00:00:00,Hold,4210031,18,BVPL-241307,161,348,3421.104,0,Engineering,164.000.3421.104.000.344,L04A,1,TRUE,FALSE,TRUE,FALSE,2025-11-13 02:02:11,Hours
INVLN000065,INV000065,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000031,INVL-0290630,1,0.5,35,17.5,560,2025-08-11 00:00:00,2025-10-10 00:00:00,Hold,4209827,-2,BVPL-241307,161,348,3421.104,0,Engineering,161.000.3421.104.000.344,L04A,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 02:03:07,Hours
INVLN000066,INV000169,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000033,INVL-0477837,1,20,81.58,1631.6,1631.6,2025-10-16 00:00:00,2025-12-15 00:00:00,Hold,4208304,-100,BVPL-241202,,,3421.104,,Engineering,161.000.3421.104.000.344,HE02,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 06:06:20,Each
INVLN000067,INV000174,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000034,INVL-0445108,4,6,45,270,2685,2025-10-07 00:00:00,2025-12-06 00:00:00,Hold,4170022,-92,BVPL-241221,,,3421.104,,Engineering,161.000.3421.104.000.344,L42A,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 05:26:57,Each
INVLN000068,INV000174,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000034,INVL-0445109,5,8.4,1,8.4,2685,2025-10-07 00:00:00,2025-12-06 00:00:00,Hold,4170022,-334,BVPL-262294,,,3421.104,,Engineering,161.000.3421.104.000.344,Mileage,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 05:26:57,Each
INVLN000069,INV000064,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000035,INVL-0498349,4,7.14,1,7.14,16.8,2025-10-24 00:00:00,2025-12-23 00:00:00,Hold,4208882,-3,BVPL-267537,,,3421.104,0,Engineering,161.000.3421.104.000.344,TAX,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 07:40:15,Each
INVLN000070,INV000094,Synthetic Contract 2 - Vendor Services Contract,PRJ000036,INVL-0371226,5,1,5.17,5.17,368.48,2025-09-11 00:00:00,2025-11-10 00:00:00,Hold,5394156,0,,151,338,3422.104,0,Engineering,151.000.3422.104.000.344,D30A,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 03:22:10,Each
INVLN000071,INV000094,Synthetic Contract 2 - Vendor Services Contract,PRJ000036,INVL-0371230,7,78,0.1,7.8,368.48,2025-09-11 00:00:00,2025-11-10 00:00:00,Hold,5394156,-634,,151,338,3422.104,0,Engineering,151.000.3422.104.000.344,BE1H,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 03:22:10,Feet
INVLN000072,INV000094,Synthetic Contract 2 - Vendor Services Contract,PRJ000036,INVL-0371231,8,78,0.07,5.46,368.48,2025-09-11 00:00:00,2025-11-10 00:00:00,Hold,5394156,-634,,151,338,3422.104,0,Engineering,151.000.3422.104.000.344,BE1G,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 03:22:10,Feet
INVLN000073,INV000094,Synthetic Contract 2 - Vendor Services Contract,PRJ000036,INVL-0371232,9,634,0.07,44.38,368.48,2025-09-11 00:00:00,2025-11-10 00:00:00,Hold,5394156,-78,,151,338,3422.104,0,Engineering,151.000.3422.104.000.344,BE1G,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 03:22:10,Feet
INVLN000074,INV000094,Synthetic Contract 2 - Vendor Services Contract,PRJ000036,INVL-0371235,10,634,0.1,63.4,368.48,2025-09-11 00:00:00,2025-11-10 00:00:00,Hold,5394156,-78,,151,338,3422.104,0,Engineering,151.000.3422.104.000.344,BE1H,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 03:22:10,Feet
INVLN000075,INV000078,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000037,INVL-0479407,12,3,45,135,2482.5,2025-10-17 00:00:00,2025-12-16 00:00:00,Hold,4187406,-88,BVPL-241221,,,3441.004,,Engineering,164.000.3441.004.000.344,L42A,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 06:12:56,Each
