Invoice_Id,PO_Description__c,Invoice_Name,Vendor__Name,Contract__Name,Invoice_Date__c,Approval_Date__c,Due_Date_Formula__c,Days_Pending_Approval__c,Infinium_Release_Number__c,Released_On__c,PO_Name,ProjectInvoice__c,Integration_Error_Message__c,Integration_Status__c,LastModifiedDate,Payment_Terms__c,Reason__c,sitetracker__Status__c,State__c,Original_Total_Amount__c,Total_Amount__c,Total_Invoice_Amount__c
INV000011,ABC Synthetic Corp 7 - Fiber Optic Installation Project - Site B,SYN-INVOICE-000011,ABC Synthetic Corp 7,BVP-02803,2025-09-10 00:00:00,2025-10-15 00:00:00,2025-11-09 00:00:00,63,,,PO_Synthetic_10,TRUE,"Detail from service: Validation errors exist. and 
 Validation Message: [
  {
    ""lineNumber"": 1,
    ""message"": ""GL account 944.708.6421.000.253.345 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 2,
    ""message"": ""GL account 944.708.6421.000.253.345 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 3,
    ""message"": ""GL account 944.708.6421.000.253.345 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 4,
    ""message"": ""GL account 944.708.6421.000.253.345 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 5,
    ""message"": ""GL account 944.708.6421.000.253.345 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 6,
    ""message"": ""GL account 944.708.6421.000.253.345 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 7,
    ""message"": ""GL account 944.708.6421.000.253.345 is not valid. Cost Code Not Valid For This Project""
  }
]",Fail,2025-11-12 03:00:31,60,,Hold,IN,1831.25,1831.25,1831.25
INV000012,Synthetic Tech Partners 5 - Construction Services Agreement - Site A,INV-SYN-000012,Synthetic Tech Partners 5,BVP-02536,2025-11-03 00:00:00,2025-11-06 00:00:00,2026-01-02 00:00:00,9,,,PO_Synthetic_7,TRUE,"Detail from service: The invoice amount is greater than the amount available on the PO. and 
 Validation Message: {
  ""vendorId"": ""8020345"",
  ""vendorInvoiceNumber"": ""INV-SYN-000012"",
  ""status"": ""Error""
}",Fail,2025-11-11 08:33:02,60,BLANK,Hold,CA,215.06,215.06,215.06
INV000013,Global Synthetic Industries 4 - Network Infrastructure Services - Q1 2025,SYNTHETIC-INV-000013,Global Synthetic Industries 4,BVP-01002,2025-10-02 00:00:00,2025-11-07 00:00:00,2025-12-01 00:00:00,41,919,2025-11-07 00:00:00,Synthetic_PO_6,TRUE,"Detail from service: Failed Validation and 
 Validation Message: {
  
} and 
 Validation Message: {
  ""lines"": {
    ""4"": {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    }
  }
}",FAIL,2025-11-07 21:44:59,60,ACCT,Hold,TX,2304,2304,2304
INV000014,XYZ Services LLC 8 - Professional Services Engagement - Q3 2025,SYN-INVOICE-000014,XYZ Services LLC 8,BVP-02853,2025-08-08 00:00:00,2025-09-09 00:00:00,2025-09-22 00:00:00,96,,,SYN_PO_11,TRUE,"Detail from service: Validation errors exist. and 
 Validation Message: [
  {
    ""lineNumber"": 1,
    ""message"": ""GL account 151.000.2422.201.000.345 is not valid. Project Not Approved""
  },
  {
    ""lineNumber"": 2,
    ""message"": ""GL account 151.000.2422.201.000.345 is not valid. Project Not Approved""
  },
  {
    ""lineNumber"": 3,
    ""message"": ""GL account 151.000.2422.201.000.505 is not valid. Project Not Approved""
  },
  {
    ""lineNumber"": 4,
    ""message"": ""GL account 151.000.2422.201.000.505 is not valid. Project Not Approved""
  },
  {
    ""lineNumber"": 5,
    ""message"": ""GL account 151.000.2422.201.000.505 is not valid. Project Not Approved""
  }
]",Fail,2025-11-12 01:59:54,45,PNA,Hold,CA,1397.19,1397.19,1397.19
INV000015,Synthetic Solutions Group 9 - Telecommunications Maintenance Contract - Region West,INV-SYN-000015,Synthetic Solutions Group 9,BVP-02877,2025-09-25 00:00:00,2025-10-10 00:00:00,2025-11-24 00:00:00,48,,,Synthetic_PO_12,TRUE,"Detail from service: Validation errors exist. and 
 Validation Message: [
  {
    ""lineNumber"": 1,
    ""message"": ""GL account 005.231.6423.000.253.345 is not valid. Project Not Approved""
  },
  {
    ""lineNumber"": 2,
    ""message"": ""GL account 005.231.6423.000.253.345 is not valid. Project Not Approved""
  }
]",Fail,2025-11-12 04:04:04,60,PNA,Hold,TN,2154.32,2154.32,2154.32
INV000016,Synthetic Vendor Inc 6 - Construction Services Agreement - Region South,SYNTHETIC-INV-000016,Synthetic Vendor Inc 6,BVP-00433,2025-10-27 00:00:00,2025-11-10 00:00:00,2025-12-11 00:00:00,16,,,PO_Synthetic_13,TRUE,"Detail from service: Validation errors exist. and 
 Validation Message: [
  {
    ""lineNumber"": 1,
    ""message"": ""GL account 151.000.2422.201.000.505 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 2,
    ""message"": ""GL account 151.000.2422.201.000.505 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 3,
    ""message"": ""GL account 151.000.2422.201.000.505 is not valid. Cost Code Not Valid For This Project""
  }
]",Fail,2025-11-12 07:36:45,45,,Hold,CA,26925.63,26925.63,26925.63
INV000017,ABC Synthetic Corp 1 - Fiber Optic Installation Project - Buildout,SYN-INVOICE-000017,ABC Synthetic Corp 1,BVP-02561,2025-10-13 00:00:00,2025-10-20 00:00:00,2025-12-12 00:00:00,30,,,SYN_PO_8,TRUE,"Detail from service: Validation errors exist. and 
 Validation Message: [
  {
    ""lineNumber"": 29,
    ""message"": ""GL account 161.348.6411.000.182.344 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 30,
    ""message"": ""GL account 161.348.6411.000.182.344 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 31,
    ""message"": ""GL account 161.348.6411.000.182.344 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 32,
    ""message"": ""GL account 161.348.6411.000.182.344 is not valid. Cost Code Not Valid For This Project""
  }
]",Fail,2025-11-12 05:03:22,60,,Hold,FL,2685,2685,2685
INV000018,ABC Synthetic Corp 1 - Fiber Optic Installation Project - Buildout,INV-SYN-000018,ABC Synthetic Corp 1,BVP-02565,2025-10-02 00:00:00,2025-10-13 00:00:00,2025-12-01 00:00:00,41,,,SYN_PO_8,TRUE,"Detail from service: Validation errors exist. and 
 Validation Message: [
  {
    ""lineNumber"": 1,
    ""message"": ""GL account 942.000.2422.201.000.344 is not valid. Cost Code Not Valid For This Project""
  }
]",Fail,2025-11-12 04:28:03,60,,Hold,OH,1800,1800,1800
INV000019,Global Synthetic Industries 10 - Equipment and Materials Supply - Q2 2025,SYNTHETIC-INV-000019,Global Synthetic Industries 10,BVP-02544,2025-09-17 00:00:00,2025-09-26 00:00:00,2025-11-01 00:00:00,56,,,SYN_PO_14,TRUE,"Detail from service: Validation errors exist. and 
 Validation Message: [
  {
    ""lineNumber"": 3,
    ""message"": ""GL account 152.000.2411.101.000.344 is not valid. Main/Sub Not Valid For This Project""
  },
  {
    ""lineNumber"": 5,
    ""message"": ""GL account 151.000.2411.101.000.344 is not valid. Main/Sub Not Valid For This Project""
  },
  {
    ""lineNumber"": 8,
    ""message"": ""GL account 151.338.6411.000.182.344 is not valid. Main/Sub Not Valid For This Project""
  }
]",Fail,2025-11-12 03:28:19,45,PNA,Hold,CA,1403.76,1403.76,1403.76
INV000020,Synthetic Tech Partners 11 - Fiber Optic Installation Project - Site A,SYN-INVOICE-000020,Synthetic Tech Partners 11,BVP-01615,2025-10-06 00:00:00,2025-11-11 00:00:00,2025-11-20 00:00:00,37,,,Synthetic_PO_15,TRUE,"Detail from service: The invoice amount is greater than the amount available on the PO. and 
 Validation Message: {
  ""vendorId"": ""6220031"",
  ""vendorInvoiceNumber"": ""SYN-INVOICE-000020"",
  ""status"": ""Error""
}",Fail,2025-11-12 13:27:11,45,BLANK,Hold,TX,567863,567863,567863
INV000021,Synthetic Vendor Inc 12 - Telecommunications Maintenance Contract - Installation,INV-SYN-000021,Synthetic Vendor Inc 12,BVP-00257,2025-08-28 00:00:00,2025-10-03 00:00:00,2026-01-25 00:00:00,76,,,PO_Synthetic_16,TRUE,"Detail from service: Validation errors exist. and 
 Validation Message: [
  {
    ""lineNumber"": 1,
    ""message"": ""GL account 941.133.6423.000.231.345 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 2,
    ""message"": ""GL account 941.133.6423.000.231.345 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 3,
    ""message"": ""GL account 941.133.6423.000.231.345 is not valid. Cost Code Not Valid For This Project""
  }
]",Fail,2025-11-12 02:20:20,150,,Hold,WI,648,648,648
INV000022,Synthetic Tech Partners 5 - Construction Services Agreement - Site A,SYNTHETIC-INV-000022,Synthetic Tech Partners 5,BVP-02536,2025-10-29 00:00:00,2025-11-03 00:00:00,2025-12-28 00:00:00,14,,,PO_Synthetic_7,TRUE,"Detail from service: The invoice amount is greater than the amount available on the PO. and 
 Validation Message: {
  ""vendorId"": ""8020345"",
  ""vendorInvoiceNumber"": ""SYNTHETIC-INV-000022"",
  ""status"": ""Error""
}",Fail,2025-11-11 08:22:22,60,BLANK,Hold,CA,2915,2915,2915
INV000023,Global Synthetic Industries 4 - Fiber Optic Installation Project - Region West,SYN-INVOICE-000023,Global Synthetic Industries 4,BVP-01006,2025-08-28 00:00:00,2025-10-24 00:00:00,2025-10-27 00:00:00,76,,,SYN_PO_17,TRUE,"Detail from service: The total amount from the invoice lines does not match the Total Invoice Amount value. and 
 Validation Message: {
  ""vendorId"": ""4206967"",
  ""vendorInvoiceNumber"": ""SYN-INVOICE-000023"",
  ""status"": ""Error""
}",Fail,2025-11-12 02:18:22,60,ACCT,Hold,MI,45.99,45.99,45.99
INV000024,Synthetic Tech Partners 5 - Construction Services Agreement - Site A,INV-SYN-000024,Synthetic Tech Partners 5,BVP-02536,2025-10-27 00:00:00,2025-11-03 00:00:00,2025-12-26 00:00:00,16,,,PO_Synthetic_7,TRUE,"Detail from service: The invoice amount is greater than the amount available on the PO. and 
 Validation Message: {
  ""vendorId"": ""8020345"",
  ""vendorInvoiceNumber"": ""INV-SYN-000024"",
  ""status"": ""Error""
}",Fail,2025-11-12 07:34:26,60,BLANK,Hold,CA,218.75,218.75,218.75
INV000025,ABC Synthetic Corp 13 - Network Infrastructure Services - Region South,SYNTHETIC-INV-000025,ABC Synthetic Corp 13,BVP-01650,2025-10-01 00:00:00,2025-10-29 00:00:00,2025-11-30 00:00:00,42,,,Synthetic_PO_18,TRUE,"Detail from service: Validation errors exist. and 
 Validation Message: [
  {
    ""lineNumber"": 1,
    ""message"": ""GL account 151.000.2422.201.000.344 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 2,
    ""message"": ""GL account 151.000.2422.201.000.344 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 3,
    ""message"": ""GL account 151.000.2422.201.000.344 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 4,
    ""message"": ""GL account 151.000.2422.201.000.344 is not valid. Cost Code Not Valid For This Project""
  }
]",Fail,2025-11-12 04:34:08,60,,Hold,CA,453.11,453.11,453.11
INV000026,XYZ Services LLC 14 - Telecommunications Maintenance Contract - Upgrade,SYN-INVOICE-000026,XYZ Services LLC 14,BVP-02928,2025-09-10 00:00:00,2025-10-14 00:00:00,2025-11-09 00:00:00,63,,,PO_Synthetic_19,TRUE,"Detail from service: Validation errors exist. and 
 Validation Message: [
  {
    ""lineNumber"": 1,
    ""message"": ""GL account 151.338.6421.000.253.345 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 2,
    ""message"": ""GL account 151.338.6421.000.253.345 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 3,
    ""message"": ""GL account 151.338.6421.000.253.345 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 4,
    ""message"": ""GL account 151.338.6421.000.253.345 is not valid. Cost Code Not Valid For This Project""
  }
]",Fail,2025-11-12 03:00:26,60,,Hold,CA,2089.6,2089.6,2089.6
INV000027,Synthetic Solutions Group 15 - Telecommunications Maintenance Contract - Site C,INV-SYN-000027,Synthetic Solutions Group 15,BVP-02559,2025-08-21 00:00:00,2025-10-01 00:00:00,2025-10-05 00:00:00,83,,,SYN_PO_20,TRUE,"Detail from service: Validation errors exist. and 
 Validation Message: [
  {
    ""lineNumber"": 8,
    ""message"": ""GL account 174.000.2421.201.000.344 is not valid. Project Number Not Valid""
  },
  {
    ""lineNumber"": 9,
    ""message"": ""GL account 174.000.2421.201.000.344 is not valid. Project Number Not Valid""
  }
]",Fail,2025-11-12 02:02:54,45,CAP MGMT,Hold,TX,52175,52175,52175
INV000028,ABC Synthetic Corp 1 - Network Infrastructure Services - Region West,SYNTHETIC-INV-000028,ABC Synthetic Corp 1,BVP-02561,2025-10-23 00:00:00,2025-10-27 00:00:00,2025-12-22 00:00:00,20,,,PO_Synthetic_1,TRUE,"Detail from service: The invoice amount is greater than the amount available on the PO. and 
 Validation Message: {
  ""vendorId"": ""5617198"",
  ""vendorInvoiceNumber"": ""SYNTHETIC-INV-000028"",
  ""status"": ""Error""
}",Fail,2025-11-12 06:56:49,60,BLANK,Hold,FL,3360,3360,3360
INV000029,Synthetic Tech Partners 5 - Fiber Optic Installation Project - Phase 2,SYN-INVOICE-000029,Synthetic Tech Partners 5,BVP-02536,2025-09-02 00:00:00,2025-10-02 00:00:00,2025-11-01 00:00:00,71,,,Synthetic_PO_21,TRUE,"Detail from service: Validation errors exist. and 
 Validation Message: [
  {
    ""lineNumber"": 3,
    ""message"": ""GL account 151.000.2422.201.000.344 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 4,
    ""message"": ""GL account 151.000.2422.201.000.344 is not valid. Cost Code Not Valid For This Project""
  }
]",Fail,2025-11-12 02:37:37,60,,Hold,CA,295.15,295.15,295.15
INV000030,Synthetic Tech Partners 5 - Fiber Optic Installation Project - Phase 2,INV-SYN-000030,Synthetic Tech Partners 5,BVP-02536,2025-09-10 00:00:00,2025-10-14 00:00:00,2025-11-09 00:00:00,63,,,Synthetic_PO_21,TRUE,"Detail from service: Validation errors exist. and 
 Validation Message: [
  {
    ""lineNumber"": 1,
    ""message"": ""GL account 151.000.2422.201.000.344 is not valid. Main/Sub Not Valid For This Project""
  }
]",Fail,2025-11-12 03:03:59,60,,Hold,CA,87.5,87.5,87.5
INV000031,Global Synthetic Industries 16 - Network Infrastructure Services - Deployment,SYNTHETIC-INV-000031,Global Synthetic Industries 16,BVP-02715,2025-08-12 00:00:00,2025-10-20 00:00:00,2025-10-11 00:00:00,92,,,PO_Synthetic_22,FALSE,"Detail from service: A vendor invoice number of SYNTHETIC-INV-000031 is already queued for release. and 
 Validation Message: {
  ""vendorId"": ""8767812"",
  ""vendorInvoiceNumber"": ""SYNTHETIC-INV-000031"",
  ""status"": ""Error""
}",Fail,2025-11-12 02:03:27,60,ACCT,Hold,FL,14970.15,14970.15,14970.15
INV000032,Synthetic Tech Partners 17 - Fiber Optic Installation Project - Region West,SYN-INVOICE-000032,Synthetic Tech Partners 17,"Synthetic Tech Partners 17-Quote Work -TX, IN, OH, WI, AZ, AL",2025-03-21 00:00:00,2025-10-15 00:00:00,2025-05-20 00:00:00,236,,,SYN_PO_23,TRUE,"Detail from service: Validation errors exist. and 
 Validation Message: [
  {
    ""lineNumber"": 1,
    ""message"": ""GL account 174.000.2212.001.000.345 is not valid. Project Number Not Valid""
  },
  {
    ""lineNumber"": 2,
    ""message"": ""GL account 174.000.3212.004.000.345 is not valid. Project Number Not Valid""
  }
]",Fail,2025-11-12 18:14:31,60,CAP MGMT,Hold,TX,1,11900,11900
INV000033,Global Synthetic Industries 4 - Equipment and Materials Supply - Deployment,INV-SYN-000033,Global Synthetic Industries 4,BVP-01007,2025-08-28 00:00:00,2025-10-27 00:00:00,2025-10-27 00:00:00,76,,,Synthetic_PO_24,TRUE,"Detail from service: The total amount from the invoice lines does not match the Total Invoice Amount value. and 
 Validation Message: {
  ""vendorId"": ""4206967"",
  ""vendorInvoiceNumber"": ""INV-SYN-000033"",
  ""status"": ""Error""
}",Fail,2025-11-12 02:20:26,60,ACCT,Hold,OH,22.97,22.97,22.97
